,KillDiff,FirstBlood,AssistDiff,GoldDiff,Dragon,Herald,ExperienceDiff,TowersDestroyed,MinionDiff,win
8625,0,0,2,21.39,1,0,5.47,1,27,0
8626,1,0,5,5.25,1,0,0.44,0,-20,1
8627,7,1,10,43.35,1,0,13.77,1,13,0
8629,7,1,7,33.62,0,1,26.34,0,32,1
8630,-6,0,-6,-25.34,0,0,-30.31,0,5,0
8632,2,1,1,12.59,1,0,14.54,0,42,1
8633,2,1,6,12.99,0,0,8.79,0,3,0
8634,-2,0,-1,-15.92,0,1,-21.17,0,-19,0
8635,3,1,3,13.6,1,0,22.74,0,9,1
8636,0,0,2,-8.66,0,0,3.88,0,-45,1
8637,3,0,2,36.34,0,0,35.59,0,65,1
8638,1,1,1,14.01,0,0,0.85,0,58,1
8639,-9,0,-7,-41.92,0,0,-39.84,0,-30,0
8640,7,1,8,46.41,0,0,22.91,0,38,1
8641,3,1,6,22.53,1,0,7.72,0,22,0
8642,5,1,7,32.03,1,1,18.3,0,54,1
8643,7,1,5,46.56,1,1,37.76,1,22,1
8644,1,1,-3,1.61,1,0,1.3,0,-4,1
8645,0,0,4,-0.65,0,0,-4.33,0,-18,1
8646,-2,0,0,-25.39,0,0,-16.37,0,-36,0
8647,-4,1,-7,-26.23,0,0,-34.36,0,-39,1
8648,7,1,10,27.24,1,0,21.7,0,-4,1
8649,5,1,12,21.77,1,0,1.86,0,-33,1
8650,-6,0,-7,-28.4,0,0,-13.6,0,11,0
8651,-1,0,-2,-27.18,0,1,-10.0,0,-37,0
8652,-2,1,1,-27.83,1,0,-20.17,0,-56,0
8653,-4,0,-3,-9.39,0,0,-25.97,0,-7,0
8654,-6,0,-9,-37.7,0,0,-29.59,0,-12,0
8655,-7,1,-13,-34.42,0,0,-29.15,0,-19,0
8656,4,1,7,32.36,0,1,34.64,0,40,1
8657,-1,1,-3,3.82,0,0,-0.64,0,-15,1
8658,1,1,0,21.35,0,0,18.98,0,44,1
8659,-1,0,-11,-5.24,0,1,4.68,0,14,0
8660,-6,1,-6,-30.33,1,0,-37.75,0,-15,1
8661,-4,0,-6,-34.41,1,0,-17.32,0,-41,0
8662,6,1,8,33.6,1,0,16.93,0,19,1
8664,-2,1,-3,-5.71,0,0,-4.01,0,-18,1
8665,-2,0,-4,-20.27,0,0,-1.14,0,-14,0
8666,-1,1,3,-0.29,0,0,-7.81,0,37,1
8667,0,0,3,-7.09,1,0,-6.58,0,-51,0
8668,2,1,1,7.07,0,0,-7.88,0,-1,1
8669,3,1,1,24.35,0,0,12.39,0,6,0
8670,5,1,10,26.27,0,0,13.26,0,38,0
8671,7,1,8,19.68,1,0,11.73,0,-21,1
8672,-2,0,-2,-6.65,0,0,-3.37,0,7,0
8675,-5,1,-8,-24.97,1,1,-24.0,0,-49,1
8677,-4,0,-8,-18.23,0,0,-8.1,0,-6,0
8678,1,0,0,11.47,0,1,2.54,0,39,1
8680,-3,0,0,-26.0,1,0,-21.12,0,12,1
8681,6,1,3,26.96,1,0,24.52,0,39,1
8684,1,1,4,-1.53,1,0,-11.05,0,-25,0
8686,-3,0,-3,-14.61,0,0,-7.99,0,-30,1
8687,-2,0,3,-5.22,0,0,-13.73,0,15,0
8688,3,1,6,2.57,1,0,-11.25,0,-25,0
8689,4,1,1,14.96,0,0,14.58,0,6,0
8690,-3,0,-10,-13.54,0,0,-7.98,0,4,0
8691,-1,1,3,-6.83,0,0,-6.76,0,-32,0
8693,-5,0,-11,-21.63,0,0,-7.39,0,7,0
8694,-3,0,-2,-44.62,1,0,-34.53,0,-65,0
8695,-5,1,-6,-20.59,0,0,-23.45,0,-16,1
8696,-2,0,-7,-16.82,0,0,-5.63,0,-11,1
8698,1,1,3,9.95,0,0,16.49,0,6,1
8699,3,1,5,10.12,1,0,1.91,0,11,1
8700,-1,0,3,-12.87,0,0,-0.06,0,-12,0
8701,2,1,1,3.59,0,0,-7.72,0,-4,0
8702,2,0,0,8.03,0,0,4.9,0,3,1
8703,-7,0,-8,-34.26,1,0,-25.39,0,-13,0
8704,0,1,0,13.15,0,0,14.02,0,38,1
8705,1,1,-1,11.71,0,0,-8.41,0,22,1
8706,4,0,1,39.7,1,0,28.18,0,34,1
8707,-2,0,-1,4.82,0,0,6.17,1,18,1
8708,-3,1,-6,-20.9,0,1,-21.88,0,-8,0
8709,4,1,7,20.52,0,0,10.84,0,-2,1
8710,5,0,7,37.7,0,0,15.56,0,37,1
8711,-1,1,2,-8.49,0,0,-6.03,0,-13,0
8712,1,1,0,16.56,0,1,0.95,1,-3,1
8713,-6,0,-10,-23.28,0,0,-15.24,0,-6,0
8714,6,1,3,46.77,1,0,45.88,0,28,1
8715,1,0,0,7.24,1,0,20.25,0,-1,1
8716,2,1,2,11.54,0,1,9.71,0,-5,1
8717,4,0,5,9.19,1,0,-0.36,0,-13,0
8718,0,0,2,1.6,0,0,9.99,0,24,1
8719,0,1,-3,-3.47,1,0,-27.53,0,-6,0
8720,4,0,4,31.22,0,0,32.76,0,39,1
8721,-1,1,-4,-7.61,0,0,-0.1,0,34,0
8723,0,1,-3,2.62,0,0,6.11,0,31,1
8724,1,1,-1,10.14,0,1,8.5,0,35,1
8725,-2,1,-3,-10.22,0,0,-12.53,0,-17,0
8726,-6,0,-3,-49.07,0,0,-27.01,0,-55,0
8727,3,0,1,19.78,0,0,19.36,0,30,0
8728,2,1,11,10.32,0,0,-6.17,0,-4,0
8729,2,0,0,27.99,0,1,29.65,0,35,1
8730,-4,1,-2,-29.67,1,0,-42.09,0,-46,0
8731,-1,1,-3,-17.7,1,0,-12.76,0,-1,0
8732,1,1,-3,18.25,1,0,2.43,0,26,1
8733,5,0,5,27.64,1,0,21.21,0,50,1
8734,2,0,1,13.24,0,0,16.92,0,16,1
8735,2,1,0,26.9,0,0,25.14,0,42,1
8736,4,0,9,15.2,1,0,11.68,0,0,1
8737,-1,0,-1,-8.3,0,1,-4.48,0,-13,1
8738,-6,1,-5,-41.47,1,0,-30.23,0,-43,0
8739,-1,0,-6,-9.47,1,0,10.16,0,9,1
8740,-5,0,-1,-36.95,1,0,-40.18,0,-71,0
8741,1,0,0,-12.52,0,0,-11.9,0,-32,0
8742,3,1,4,13.71,0,0,11.79,0,-26,1
8743,2,1,4,17.67,1,1,14.08,0,27,1
8744,4,1,5,16.05,0,0,7.55,0,10,1
8746,-2,1,5,-7.53,0,0,-2.99,0,1,1
8747,7,1,4,44.46,1,1,34.48,0,40,1
8748,-4,0,-10,-31.42,0,0,-26.33,0,-8,0
8749,-3,0,-6,-26.95,0,0,-25.72,0,-14,1
8750,-4,0,-7,-46.03,0,0,-26.67,0,-29,0
8751,3,1,-4,14.54,1,0,11.87,0,18,0
8752,1,0,0,-3.12,1,0,-4.73,0,-23,0
8753,1,1,1,-4.91,0,0,-14.17,0,-10,0
8754,1,0,2,1.24,0,0,-0.46,0,-13,0
8755,-3,1,3,-10.08,0,1,-8.1,0,2,0
8756,2,0,6,11.21,1,0,8.36,0,-6,1
8757,-7,0,-8,-21.54,0,0,-23.48,0,-16,0
8758,-4,0,-5,-17.11,0,0,-10.86,0,42,1
8759,6,1,7,11.44,1,0,9.44,0,-39,0
8760,7,1,5,24.14,1,0,24.07,0,7,1
8761,-3,0,-8,-26.27,0,0,-24.58,0,-57,0
8762,-2,0,-2,-3.53,1,1,-2.8,0,5,1
8763,2,0,4,12.32,0,0,13.58,0,-4,0
8764,0,1,-1,10.71,1,1,6.44,0,23,1
8765,4,0,1,22.33,1,0,31.09,0,-6,1
8766,6,1,5,43.76,1,0,41.06,0,43,1
8767,5,0,3,19.31,0,0,20.84,0,0,1
8768,6,1,7,26.69,0,0,27.43,0,52,1
8769,6,1,6,25.96,1,0,10.52,0,-17,1
8770,3,0,-2,10.81,0,0,17.57,0,35,1
8771,-2,1,-4,-25.23,0,0,-20.8,0,-51,0
8772,2,1,0,12.07,0,0,-4.88,0,42,0
8773,2,0,3,11.06,1,0,13.09,0,6,1
8774,1,0,2,-2.66,1,0,-6.13,0,-32,1
8775,4,0,4,10.69,1,0,11.04,0,-10,1
8776,-1,0,-1,17.1,1,0,12.98,0,63,0
8777,-1,0,-3,-1.0,0,0,-1.2,0,17,0
8778,-2,1,-1,-5.56,0,0,-4.42,0,-28,1
8780,-3,0,-6,-5.54,0,0,1.74,0,27,0
8781,-2,1,-1,-5.42,0,0,-12.35,0,-13,0
8782,3,0,5,17.53,0,0,9.63,0,-5,1
8783,-3,1,-6,-17.18,0,0,-19.22,0,1,0
8784,-4,1,-8,-19.8,1,0,-15.95,0,-25,0
8785,-3,0,-3,-6.45,0,1,-14.95,0,17,0
8786,1,0,-1,-11.74,0,0,-7.78,0,-26,1
8787,1,1,-1,11.79,0,0,-6.75,0,-11,0
8788,3,1,2,13.08,1,0,12.96,0,-39,1
